text_id,file_path,author_id,title,date
FEDERALIST_01,R/data/text_data/federalist_papers/FEDERALIST_01.txt,Hamilton,General Introduction,NA
FEDERALIST_02,R/data/text_data/federalist_papers/FEDERALIST_02.txt,Jay,Concerning Dangers from Foreign Force and Influence,NA
FEDERALIST_03,R/data/text_data/federalist_papers/FEDERALIST_03.txt,Jay,The Same Subject Continued (Concerning Dangers From Foreign Force and Influence),NA
FEDERALIST_04,R/data/text_data/federalist_papers/FEDERALIST_04.txt,Jay,The Same Subject Continued (Concerning Dangers From Foreign Force and Influence),NA
FEDERALIST_05,R/data/text_data/federalist_papers/FEDERALIST_05.txt,Jay,The Same Subject Continued (Concerning Dangers From Foreign Force and Influence),NA
FEDERALIST_06,R/data/text_data/federalist_papers/FEDERALIST_06.txt,Hamilton,Concerning Dangers from Dissensions Between the States,NA
FEDERALIST_07,R/data/text_data/federalist_papers/FEDERALIST_07.txt,Hamilton,The Same Subject Continued (Concerning Dangers from Dissensions Between the States),NA
FEDERALIST_08,R/data/text_data/federalist_papers/FEDERALIST_08.txt,Hamilton,The Consequences of Hostilities Between the States,NA
FEDERALIST_09,R/data/text_data/federalist_papers/FEDERALIST_09.txt,Hamilton,The Union as a Safeguard Against Domestic Faction and Insurrection,NA
FEDERALIST_10,R/data/text_data/federalist_papers/FEDERALIST_10.txt,Madison,The Same Subject Continued (The Union as a Safeguard Against Domestic Faction and Insurrection),"November 23, 1787"
FEDERALIST_11,R/data/text_data/federalist_papers/FEDERALIST_11.txt,Hamilton,The Utility of the Union in Respect to Commercial Relations and a Navy,NA
FEDERALIST_12,R/data/text_data/federalist_papers/FEDERALIST_12.txt,Hamilton,The Utility of the Union In Respect to Revenue,"November 27, 1787"
FEDERALIST_13,R/data/text_data/federalist_papers/FEDERALIST_13.txt,Hamilton,Advantage of the Union in Respect to Economy in Government,NA
FEDERALIST_14,R/data/text_data/federalist_papers/FEDERALIST_14.txt,Madison,Objections to the Proposed Constitution From Extent of Territory Answered,"November 30, 1787"
FEDERALIST_15,R/data/text_data/federalist_papers/FEDERALIST_15.txt,Hamilton,The Insufficiency of the Present Confederation to Preserve the Union,NA
FEDERALIST_16,R/data/text_data/federalist_papers/FEDERALIST_16.txt,Hamilton,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),"December 4, 1787"
FEDERALIST_17,R/data/text_data/federalist_papers/FEDERALIST_17.txt,Hamilton,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),NA
FEDERALIST_18,R/data/text_data/federalist_papers/FEDERALIST_18.txt,Hamilton_Madison,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),NA
FEDERALIST_19,R/data/text_data/federalist_papers/FEDERALIST_19.txt,Hamilton_Madison,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),NA
FEDERALIST_20,R/data/text_data/federalist_papers/FEDERALIST_20.txt,Hamilton_Madison,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),"December 11, 1787"
FEDERALIST_21,R/data/text_data/federalist_papers/FEDERALIST_21.txt,Hamilton,Other Defects of the Present Confederation,NA
FEDERALIST_22,R/data/text_data/federalist_papers/FEDERALIST_22.txt,Hamilton,The Same Subject Continued (Other Defects of the Present Confederation),"December 14, 1787"
FEDERALIST_23,R/data/text_data/federalist_papers/FEDERALIST_23.txt,Hamilton,The Necessity of a Government as Energetic as the One Proposed to the Preservation of the Union,"December 18, 1787"
FEDERALIST_24,R/data/text_data/federalist_papers/FEDERALIST_24.txt,Hamilton,The Powers Necessary to the Common Defense Further Considered,NA
FEDERALIST_25,R/data/text_data/federalist_papers/FEDERALIST_25.txt,Hamilton,The Same Subject Continued (The Powers Necessary to the Common Defense Further Considered),"December 21, 1787"
FEDERALIST_26,R/data/text_data/federalist_papers/FEDERALIST_26.txt,Hamilton,The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered,NA
FEDERALIST_27,R/data/text_data/federalist_papers/FEDERALIST_27.txt,Hamilton,The Same Subject Continued (The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered),"December 25, 1787"
FEDERALIST_28,R/data/text_data/federalist_papers/FEDERALIST_28.txt,Hamilton,The Same Subject Continued (The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered),NA
FEDERALIST_29,R/data/text_data/federalist_papers/FEDERALIST_29.txt,Hamilton,Concerning the Militia,"January 10, 1788"
FEDERALIST_30,R/data/text_data/federalist_papers/FEDERALIST_30.txt,Hamilton,Concerning the General Power of Taxation,"December 28, 1787"
FEDERALIST_31,R/data/text_data/federalist_papers/FEDERALIST_31.txt,Hamilton,The Same Subject Continued (Concerning the General Power of Taxation),"January 1, 1788"
FEDERALIST_32,R/data/text_data/federalist_papers/FEDERALIST_32.txt,Hamilton,The Same Subject Continued (Concerning the General Power of Taxation),"January 3, 1788"
FEDERALIST_33,R/data/text_data/federalist_papers/FEDERALIST_33.txt,Hamilton,The Same Subject Continued (Concerning the General Power of Taxation),"January 3, 1788"
FEDERALIST_34,R/data/text_data/federalist_papers/FEDERALIST_34.txt,Hamilton,The Same Subject Continued (Concerning the General Power of Taxation),"January 4, 1788"
FEDERALIST_35,R/data/text_data/federalist_papers/FEDERALIST_35.txt,Hamilton,The Same Subject Continued (Concerning the General Power of Taxation),NA
FEDERALIST_36,R/data/text_data/federalist_papers/FEDERALIST_36.txt,Hamilton,The Same Subject Continued (Concerning the General Power of Taxation),"January 8, 1788"
FEDERALIST_37,R/data/text_data/federalist_papers/FEDERALIST_37.txt,Madison,Concerning the Difficulties of the Convention in Devising a Proper Form of Government,"January 11, 1788"
FEDERALIST_38,R/data/text_data/federalist_papers/FEDERALIST_38.txt,Madison,"The Same Subject Continued, and the Incoherence of the Objections to the New Plan Exposed","January 15, 1788"
FEDERALIST_39,R/data/text_data/federalist_papers/FEDERALIST_39.txt,Madison,The Conformity of the Plan to Republican Principles,NA
FEDERALIST_40,R/data/text_data/federalist_papers/FEDERALIST_40.txt,Madison,The Powers of the Convention to Form a Mixed Government Examined and Sustained,"January 18, 1788"
FEDERALIST_41,R/data/text_data/federalist_papers/FEDERALIST_41.txt,Madison,General View of the Powers Conferred by The Constitution,NA
FEDERALIST_42,R/data/text_data/federalist_papers/FEDERALIST_42.txt,Madison,The Powers Conferred by the Constitution Further Considered,"January 22, 1788"
FEDERALIST_43,R/data/text_data/federalist_papers/FEDERALIST_43.txt,Madison,The Same Subject Continued (The Powers Conferred by the Constitution Further Considered),NA
FEDERALIST_44,R/data/text_data/federalist_papers/FEDERALIST_44.txt,Madison,Restrictions on the Authority of the Several States,"January 25, 1788"
