text_id,file_path,student_gender,year_of_birth,first_language,education,paper_discipline,student_id,student_level,date,module_title,module_code,paper_type,discipline,disciplinary_group,grade,number_of_authors,number_of_words,number_of_s_units,number_of_p,number_of_tables,number_of_figures,number_of_block_quotes,number_of_formulae,number_of_lists,number_of_paragraphs_formatted_like_lists,abstract_present,average_words_per_s_unit,average_s_units_per_p,macrotype_of_assignment
0001d,data/text_data/bawe_body/0001d.txt,F,1985,English,UKA,Sociology,0001,2,2004-11,"Transformations: Gender, Reproduction and Contemporary Society",SO231,Essay,Sociology,SS,D,1,2225,67,18,0,0,0,0,0,0,no abstract,33.2,3.7,simple assignment
0002b,data/text_data/bawe_body/0002b.txt,F,1986,English,UKA,Sociology,0002,1,2005-03,Births of Feminisms,SO111,Essay,Sociology,SS,D,1,1741,44,8,0,0,0,0,0,0,no abstract,39.6,5.5,simple assignment
0003b,data/text_data/bawe_body/0003b.txt,M,1984,Dutch,OSA,History/Sociology,0003,1,2004-11,Sociological Imagination and Investigation,SO109,Narrative recount,Sociology,SS,M,1,1447,67,10,0,0,0,0,0,0,no abstract,21.6,6.7,simple assignment
0004d,data/text_data/bawe_body/0004d.txt,M,1984,English,UKA,Sociology,0004,3,2005-04,Dissertation,SO301,Research report,Sociology,SS,M,1,10758,280,63,0,0,1,0,0,0,abstract present,38.4,4.4,simple assignment
0005a,data/text_data/bawe_body/0005a.txt,M,1982,English,UKA,History,0005,4,2004-04,"Historical Research: Theory, Skill and Method I",HI943,Essay,History,AH,M,1,2700,120,12,0,0,0,0,0,0,no abstract,22.5,10,simple assignment
0006b,data/text_data/bawe_body/0006b.txt,F,1983,English,UK2,Biochemistry,0006,1,2005-03,Biochemistry Laboratories and Assessed Work,BS120,Methodology recount,Biological Sciences,LS,D,1,1579,67,14,2,0,0,0,0,0,abstract present,23.6,4.8,simple assignment
0007a,data/text_data/bawe_body/0007a.txt,F,1985,English,UKA,Biochemistry,0007,1,2005-03,Biochemistry Laboratories and Assessed Work,BS120,Methodology recount,Biological Sciences,LS,D,1,1391,53,21,1,0,0,0,2,0,abstract present,26.2,2.5,simple assignment
0008a,data/text_data/bawe_body/0008a.txt,M,1985,Chinese Mandarin,OSA,Engineering,0008,1,2004-12,Economics and the Structure of Industry,ES175,Case study,Engineering,PS,D,1,1747,110,54,1,1,0,0,0,19,no abstract,15.9,2,simple assignment
0009c,data/text_data/bawe_body/0009c.txt,F,1984,English,UKA,Biological Sciences,0009,2,2005-01,BS/MB/VIR/CB laboratories,BS215,Methodology recount + Methodology recount + Methodology recount,Biological Sciences,LS,D,1,3678,118,34,0,5,0,0,0,0,no abstract,31.2,3.5,compound assignment consisting of 3 parts (see notesStmt for details)
0010d,data/text_data/bawe_body/0010d.txt,F,1984,English,UKA,History and Sociology,0010,2,2004-03,"Social History of England, 1500-1700",HI209,Essay,History,AH,D,1,2523,58,12,0,0,0,0,0,0,no abstract,43.5,4.8,simple assignment
0011b,data/text_data/bawe_body/0011b.txt,F,1985,English,UKA,Psychology,0011,1,2005-04,Further Psychology,PS112,Essay,Psychology,LS,D,1,1467,59,8,0,0,0,0,0,0,no abstract,24.9,7.4,simple assignment
0012c,data/text_data/bawe_body/0012c.txt,F,1984,English,UKA,History,0012,2,2005-06,The Social History of Food in Latin America,AM205,Essay,Comparative American Studies,AH,D,1,1646,52,6,0,0,0,0,0,0,no abstract,31.7,8.7,simple assignment
0013a,data/text_data/bawe_body/0013a.txt,F,1985,English,UKA,History,0013,1,2003-11,The Medieval World,HI127,Essay,History,AH,M,1,1966,106,12,0,0,0,0,0,0,no abstract,18.5,8.8,simple assignment
0014d,data/text_data/bawe_body/0014d.txt,F,1984,English,UKA,Psychology,0014,3,2005-11,"Perception, Planning and Action",PS350,Essay,Psychology,LS,D,1,2685,87,12,0,0,0,0,0,0,no abstract,30.9,7.3,simple assignment
0015a,data/text_data/bawe_body/0015a.txt,F,1986,English,UKA,History,0015,1,2005-01,History of Russia from 1881,HI107,Essay,History,AH,M,1,1787,86,11,0,0,2,0,0,0,no abstract,20.8,7.8,simple assignment
0016c,data/text_data/bawe_body/0016c.txt,F,1985,English,UKA,Psychology,0016,2,2005-03,Psychology Project II,PS216,Research report,Psychology,LS,D,1,6198,182,37,2,2,0,0,0,0,abstract present,34.1,4.9,simple assignment
0017b,data/text_data/bawe_body/0017b.txt,F,1985,English,UK2,Psychology,0017,1,2005-04,Further Psychology,PS112,Essay,Psychology,LS,M,1,1497,81,11,0,0,0,0,0,0,no abstract,18.5,7.4,simple assignment
0018d,data/text_data/bawe_body/0018d.txt,M,1982,Chinese Cantonese,UK7,Mechanical Engineering,0018,3,2005-06,Design of Machines,ES388,Design specification,Engineering,PS,D,1,3365,242,163,4,6,0,103,6,9,abstract present,13.9,1.5,simple assignment
0019a,data/text_data/bawe_body/0019a.txt,F,1984,English,OSA,History & Politics,0019,1,2004-04,Making of the Modern World,HI153,Essay,History,AH,D,1,2099,73,12,0,0,0,0,0,0,no abstract,28.8,6.1,simple assignment
0020h,data/text_data/bawe_body/0020h.txt,F,1984,English,UKA,Psychology,0020,3,2005-03,Psychology of Aging,PS349,Essay,Psychology,LS,M,1,2644,82,15,0,0,0,0,0,0,no abstract,32.2,5.5,simple assignment
0021a,data/text_data/bawe_body/0021a.txt,M,1985,English,UKA,Mechanical Engineering,0021,1,2005-02,Technological Science I,ES180,Methodology recount,Engineering,PS,D,1,2542,159,93,5,3,0,18,3,12,abstract present,16,1.7,simple assignment
0022b,data/text_data/bawe_body/0022b.txt,F,1985,English,UKA,Psychology,0022,2,2005-06,Psychology Project II,PS216,Research report,Psychology,LS,M,1,4304,186,19,1,0,0,0,0,0,abstract present,23.1,9.8,simple assignment
