text_id,file_path,author_id,title,date
FEDERALIST_01,data/text_data/federalist_papers/FEDERALIST_01.txt,Hamilton,General Introduction,NA
FEDERALIST_02,data/text_data/federalist_papers/FEDERALIST_02.txt,Jay,Concerning Dangers from Foreign Force and Influence,NA
FEDERALIST_03,data/text_data/federalist_papers/FEDERALIST_03.txt,Jay,The Same Subject Continued (Concerning Dangers From Foreign Force and Influence),NA
FEDERALIST_04,data/text_data/federalist_papers/FEDERALIST_04.txt,Jay,The Same Subject Continued (Concerning Dangers From Foreign Force and Influence),NA
FEDERALIST_05,data/text_data/federalist_papers/FEDERALIST_05.txt,Jay,The Same Subject Continued (Concerning Dangers From Foreign Force and Influence),NA
FEDERALIST_06,data/text_data/federalist_papers/FEDERALIST_06.txt,Hamilton,Concerning Dangers from Dissensions Between the States,NA
FEDERALIST_07,data/text_data/federalist_papers/FEDERALIST_07.txt,Hamilton,The Same Subject Continued (Concerning Dangers from Dissensions Between the States),NA
FEDERALIST_08,data/text_data/federalist_papers/FEDERALIST_08.txt,Hamilton,The Consequences of Hostilities Between the States,NA
FEDERALIST_09,data/text_data/federalist_papers/FEDERALIST_09.txt,Hamilton,The Union as a Safeguard Against Domestic Faction and Insurrection,NA
FEDERALIST_10,data/text_data/federalist_papers/FEDERALIST_10.txt,Madison,The Same Subject Continued (The Union as a Safeguard Against Domestic Faction and Insurrection),"November 23, 1787"
FEDERALIST_11,data/text_data/federalist_papers/FEDERALIST_11.txt,Hamilton,The Utility of the Union in Respect to Commercial Relations and a Navy,NA
FEDERALIST_12,data/text_data/federalist_papers/FEDERALIST_12.txt,Hamilton,The Utility of the Union In Respect to Revenue,"November 27, 1787"
FEDERALIST_13,data/text_data/federalist_papers/FEDERALIST_13.txt,Hamilton,Advantage of the Union in Respect to Economy in Government,NA
FEDERALIST_14,data/text_data/federalist_papers/FEDERALIST_14.txt,Madison,Objections to the Proposed Constitution From Extent of Territory Answered,"November 30, 1787"
FEDERALIST_15,data/text_data/federalist_papers/FEDERALIST_15.txt,Hamilton,The Insufficiency of the Present Confederation to Preserve the Union,NA
FEDERALIST_16,data/text_data/federalist_papers/FEDERALIST_16.txt,Hamilton,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),"December 4, 1787"
FEDERALIST_17,data/text_data/federalist_papers/FEDERALIST_17.txt,Hamilton,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),NA
FEDERALIST_18,data/text_data/federalist_papers/FEDERALIST_18.txt,Hamilton_Madison,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),NA
FEDERALIST_19,data/text_data/federalist_papers/FEDERALIST_19.txt,Hamilton_Madison,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),NA
FEDERALIST_20,data/text_data/federalist_papers/FEDERALIST_20.txt,Hamilton_Madison,The Same Subject Continued (The Insufficiency of the Present Confederation to Preserve the Union),"December 11, 1787"
FEDERALIST_21,data/text_data/federalist_papers/FEDERALIST_21.txt,Hamilton,Other Defects of the Present Confederation,NA
FEDERALIST_22,data/text_data/federalist_papers/FEDERALIST_22.txt,Hamilton,The Same Subject Continued (Other Defects of the Present Confederation),"December 14, 1787"
FEDERALIST_23,data/text_data/federalist_papers/FEDERALIST_23.txt,Hamilton,The Necessity of a Government as Energetic as the One Proposed to the Preservation of the Union,"December 18, 1787"
FEDERALIST_24,data/text_data/federalist_papers/FEDERALIST_24.txt,Hamilton,The Powers Necessary to the Common Defense Further Considered,NA
FEDERALIST_25,data/text_data/federalist_papers/FEDERALIST_25.txt,Hamilton,The Same Subject Continued (The Powers Necessary to the Common Defense Further Considered),"December 21, 1787"
FEDERALIST_26,data/text_data/federalist_papers/FEDERALIST_26.txt,Hamilton,The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered,NA
FEDERALIST_27,data/text_data/federalist_papers/FEDERALIST_27.txt,Hamilton,The Same Subject Continued (The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered),"December 25, 1787"
FEDERALIST_28,data/text_data/federalist_papers/FEDERALIST_28.txt,Hamilton,The Same Subject Continued (The Idea of Restraining the Legislative Authority in Regard to the Common Defense Considered),NA
FEDERALIST_29,data/text_data/federalist_papers/FEDERALIST_29.txt,Hamilton,Concerning the Militia,"January 10, 1788"
FEDERALIST_30,data/text_data/federalist_papers/FEDERALIST_30.txt,Hamilton,Concerning the General Power of Taxation,"December 28, 1787"
