text_id,file_path,paper_title,paper_discipline,student_level,discipline_cat,level_cat,student_gender,speaker_status,speaker_l1,paper_type,paper_features
BIO.G0.01.1,data/text_data/micusp_body/BIO.G0.01.1.txt,The Ecology and Epidemiology of Plague,Biology,Final Year Undergraduate,BIO,G0,F,NS,,Report,"Literature review section, Reference to sources"
BIO.G0.02.1,data/text_data/micusp_body/BIO.G0.02.1.txt,Host-Parasite Interactions: On the Presumed Sympatric Speciation of Vidua,Biology,Final Year Undergraduate,BIO,G0,M,NS,,Report,"Tables, graphs or figures, Reference to sources"
BIO.G0.02.2,data/text_data/micusp_body/BIO.G0.02.2.txt,Sensory Drive and Speciation,Biology,Final Year Undergraduate,BIO,G0,M,NS,,Report,Reference to sources
BIO.G0.02.3,data/text_data/micusp_body/BIO.G0.02.3.txt,Plant Pollination Systems: Evolutionary Trends in Generalization and Specialization,Biology,Final Year Undergraduate,BIO,G0,M,NS,,Report,Reference to sources
BIO.G0.02.4,data/text_data/micusp_body/BIO.G0.02.4.txt,"Chromosomal Rearrangements, Recombination Suppression, and Speciation: A Review of Rieseberg 2001",Biology,Final Year Undergraduate,BIO,G0,M,NS,,Report,Reference to sources
BIO.G0.02.5,data/text_data/micusp_body/BIO.G0.02.5.txt,On the Origins of Man: Understanding the Last Two Million Years,Biology,Final Year Undergraduate,BIO,G0,M,NS,,Report,"Definitions, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.02.6,data/text_data/micusp_body/BIO.G0.02.6.txt,Genetic Analysis of Drosophila Melanogaster Mutants: To Determine Inheritance and Linkage Patterns,Biology,Final Year Undergraduate,BIO,G0,M,NS,,ResearchPaper,"Abstract, Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.03.1,data/text_data/micusp_body/BIO.G0.03.1.txt,Lab 3: Plant Competition,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.03.2,data/text_data/micusp_body/BIO.G0.03.2.txt,The Effects of Motor Oil on Aquatic Insect Predation,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Abstract, Methodology section, Discussion of results section, Reference to sources"
BIO.G0.03.3,data/text_data/micusp_body/BIO.G0.03.3.txt,Comparison of Hypothesis Testing in a High vs. Low-impact Journal,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.04.1,data/text_data/micusp_body/BIO.G0.04.1.txt,Fetal Endocrine System,Biology,Final Year Undergraduate,BIO,G0,F,NS,,Report,"Abstract, Reference to sources"
BIO.G0.04.2,data/text_data/micusp_body/BIO.G0.04.2.txt,Drosophila Lab Report,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
BIO.G0.04.3,data/text_data/micusp_body/BIO.G0.04.3.txt,Conjugation Lab Report,Biology,Final Year Undergraduate,BIO,G0,F,NS,,ResearchPaper,"Discussion of results section, Tables, graphs or figures"
BIO.G0.05.1,data/text_data/micusp_body/BIO.G0.05.1.txt,Mn (III) TPPS4: A Metallophorphryin Used for Tumor Identification in MRI,Biology,Final Year Undergraduate,BIO,G0,F,NS,,Report,"Methodology section, Discussion of results section, Tables, graphs or figures, Reference to sources"
