speaker,text
01_LENO,"So you don't need to go borrow equipment from anybody, to... to do the feet. Do the hooves."
01_LYNN,"Well, we're gonna have to find somewhere, to get, something."
01_DORI,"So, Mae-."
01_LYNN,I'm gonna.
01_DORI,Mae Lynne <XX>.
01_LYNN,"We're not gonna do the feet today, I'm gonna wait till like, early in the morning, to do those, cause y-. I mean you get so tired... n- you just, it takes uh... well, it takes me longer than most people, cause you know, I'm not as strong and, and I'm not as good, as like somebody that would do it all the time. You know. I mean, uh Oh. I mean I trim horses, and stuff like that, but I mean, I'm not like, I'm not uh, I don't know how to say it. But you know, they do it for a living... you know, most people that you would get to trim your horse do it all the time... and I'm not that good or, and I'm not very strong."
01_LENO,Did they train you-.
01_LYNN,Yeah.
01_LENO,Did they train you that... <XX>.
01_LYNN,Yeah... yeah.
01_LENO,So you have your own equipment...
01_LYNN,<NONVERBAL>
01_LENO,But.
01_LYNN,"No. I don't have my own equipment at all. Dad, you know, has done some of it. That's another thing too, is I kinda had a b- general idea, of kinda how to do it, just watching him... or... and watching, people come to our place, and doing it and stuff you know... and, I don't know... then, down there, um, it's mandatory... you have to uh... to graduate, you know, or well, to get the degree, you know, you have to take this class. And you can only take-... if you want to, you can only take it for eight weeks. And, if you wanna go on in it, you n-... then, you can go on... you know. And I decided to go ahead and go on in it. And the first part of it, is like, well we have lecture, then we have lab. And like, the first part of it, we just go into the classroom, and he like, In the beginning of the year there was a lot of classroom work. I mean, it-... that's just kinda how it happens, you know, because he kinda has to tell you, they go over, the whole, the whole part of the horse. I mean, all the skeleton part of it you know, and-... and they go through every kinda ligament... and I mean, there's, millions of ligaments, and millions of tendons, you know, well not millions, but, I mean."
01_LENO,"Yeah, I bet."
01_LYNN,"And then, so we had to know these tendons, and ligaments, and then, all the bones, and, you know, all the way up- from the shoulder down, and then from the hip down. You know, all the way down to the hoof, and then, uh the bone in the hoof, and, then all the wall, and, uh you know, of the hoof, and, what everything was called there, and then, he went over on how to trim it, and where you-... th- there's a white line, that you go by, and a horse has this little white line, and you clean it out with the... with the hoof knife... you know... and then there-... uh and then you can see this little white line... and that's kinda where you go by, to... uh you know, the horse kinda helps you out, because it, has that little white line right there."
01_LENO,Mhm.
01_LYNN,"And that's where you kinda... kinda need a little guide, of where you trim. And, I am still scared to do it... because, uh you know, I mean, you can make a horse go lame, By doing it-."
01_LENO,Really.
01_LYNN,"Well you can trim em too short... uh And make em, you know, and they're just a little bit, for f-... the first couple of days, you know, I mean they're just sore. That's not bad, but sometimes you can get it really bad. You can really make a horse really bad. And they m-... you know then, uh they have to, like, keep em, away from anything, you know, get em really in the soft ground, and, no hard pebbles, or hard clods of dirt or anything. So uh, uh I don't know. I'm a little scared about doing it yet... you know, I get em really long. I mean they're still long. When I get done with them, A lot of times, like I'll get done, and I'll think I'm done, and I'll look at-... look down at the horse's hoof, and it's still, it's too long. And then like, I would never, ever, ever, trust myself, to shoe a horse. See we did that too... we did. We did a lot of stuff... we did a lot of stuff with the... like we had the, um, the burners... you know, and you'd put the... you'd have... you started out with the straight iron... you know... and you'd stick it into the, into the, you know like, actual blacksmithing. And you'd put it into the hot coals, you know. And then, we'd uh... i- i- straight bar, and we'd make it a-... a horseshoe out of it, you know. But, uh... these shoes we never did put on a horse. We just put the shoes that were already made..."
01_LENO,<NONVERBAL>
01_LYNN,"On a horse. And that's as far as we got. I mean, if you would really get into it, Well as a matter of fact, this is really funny. You know, there isn't really any girl farriers around anywhere. They're really."
01_LENO,Farrier.
01_LYNN,"Th- Yeah... farrier is what they're called. And the m- uh... the reason they were showing us this at college, was just, to get us, to know if our trimmer, and shoer were s doing it right, and-... plus the knowledge of knowing the bones and ligaments... which we, we had it in another class too... we... that was kind of a double thing that, uh we had in-... in another class, so it was kinda review for us... well it was a review for some people, depend on what time of the year you took it. You know... if it was a review or not. But, anyway, um, what was I gonna say. I forgot what I was think-."
01_LENO,You said you never made the horseshoes.
01_LYNN,Gonna say.
01_LENO,But.
01_LYNN,"Well, uh w- um, uh when we put em on a horse's hoof, all we do, they're already made... they're round... we pick out a size... you know we'd, like look at the horse's hoof, and say, okay, this is a double-aught... this is an aught... this is, you know... what s-... what size... and double-aught and aught, uh are the ones that are most popular... uh For, you know, the light horse. You know, I mean, you get into the big horses, the... like the Clydesdales, Shires, that's a d-... a whole different thing. Or ponies, that's a whole different thing. But we're talking just the regular, light horses you know. And, aught and aught... uh aught, and double-aught, are the two sizes. Well anyway, you go get your. Okay, this is after you trimmed em. And you go get your shoe, It's already made. It's already round. You pick out your size... uh You go look, and every horse's hoof is shaped different. It doesn't matter... every horse is gonna have a little different shape. And so what you have to do."
01_LENO,"So every... every uh, horseshoe is made... custom-made for the horse then."
01_LYNN,"No no. No. What. What we do, then that's that's where the ferrier comes in. Every shoe, is like, you get- order, you know, I would like a b- case of double-aught shoes. You'd get-. The ferrier gets em. You know, that's the way it goes, And then, uh Our job, is to shape the shoe, to the horse's foot. And that, it d- it sounds easy, but it's really hard to do. I mean, some of em you have to, uh you know, like say, okay, say your shoe's uh like this... and your horse's foot is just really wide or something. Well then you have to put it on the anvil, and get the shoe stretched out, well then once you stretch the shoe out, well then, the two corners... they go out, too... you know, okay your shoe's like this. You stretch this out, well then it's gonna make these go way out, too, and they get like this."
01_LENO,Right.
01_LYNN,"Then you have to round these back, you know. It's just, uh it s- it sounds easy, but it's really hard to do, and then, I would never do it, cause I'd never trust myself to do it. I mean we had to do it..."
01_LENO,<NONVERBAL>
01_LYNN,"But, it's just that people would volunteer their horses to the college, because, it costs like thirty bucks to get your horse shod. I mean, that's just how much it costs. Could you imagine all those horses out there, if we had em all shod... that's."
01_LENO,How many have you got.
01_LYNN,"Thirty bucks, for twenty horses-."
01_LENO,Twenty.
01_LYNN,"Twenty-eight horses, you know. I mean, Jesus, that would be a th- nine hundred dollars, just like that. I mean, could you imagine. So, w- you know, like, a lot of people, that have a lot of horses and stuff, and that they're riding a lot, they'll just, let the college kids do em. For em you know. They're taking the risk, of having their horse get lame, but, It really never happens, cause we have our s- instructor right there, telling us, this is what you do. And it's not like, there's a person that's just gung ho, and goes and just, trims their feet, and puts the shoe on, you know, you d- you d- you can't do that. And so we have our instructor right there, and we asked a million questions, all the time I mean, he e-... he just runs around... everywhere... you know... so it's uh. But uh, What was I gonna say... uh Oh, and it's really tiring though. And it uh... you know like, you get so-. I've only done like, well, at the end of the year, now see, I took the second half of the course. And, uh right now, I've probably, only shod about, five horses. Trimmed a lot of em. And you know what we start out with. This is the grossest of everything."
01_LENO,What.
01_LYNN,"We start out, with, dead horse hooves. I mean, uh uh you know, the the canneries, you know and stuff you know. The people that... that... kill the horses for meat and stuff. You know they have all these legs and stuff. And. I don't know, everybody uh."
01_LENO,"I thought they used the the horsehooves in for gelatin, That's not so."
