speaker,text
06_LENO,Disgusting.
06_ALIN,Well you know...
06_LENO,<NONVERBAL>
06_ALIN,Remember Tyke. Lived next door to Mom.
06_LENO,Uh Yeah.
06_ALIN,"Okay. Two weeks ago I'm watching TV, and David Horowitz is going to have, this former car radio thief on."
06_LENO,It's her boyfriend.
06_ALIN,"Yeah, her ex-boyfriend. Mike. He's the one that stole Hector's radio."
06_LENO,How do you know.
06_ALIN,"Well, cause well, he... he was a cocaine addict. So he's talking about, he... you know he's, yeah man, he's gonna show us, you know, how <XX> not <XX>..."
06_LENO,<NONVERBAL>
06_ALIN,"To protect your car, not to get it, you know, ripped off man. Cause, you know, I... yeah, I was into it, uh let me show you how easy it was. He's actually pretty intelligent. You know he just... uneducated, so, um, yeah. Hector's radio, with. I- it was broken, we were gonna s-... take it out and send it back to the factory, to get a new factory, radio, we never got a chance, because, the back window was broken, and they stole it. The radio. And you can't send something back to the factory, that isn't there anymore..."
06_LENO,<NONVERBAL>
06_ALIN,Right. So he never got his radio.
06_LENO,It's really hard...
06_ALIN,<NONVERBAL>
06_LENO,Oh. Shit.
06_ALIN,So he got another radio this summer...
06_LENO,<NONVERBAL>
06_ALIN,But of course that got ripped off also. But never mind...
06_LENO,He's having bad luck with that car. What i- what i- what is this.
06_ALIN,I don't know.
06_LENO,"So. You-. Y- it's obvious now that this guy w-. This was the one who stole Hector's, I mean, nobody came out and told you, guess what..."
06_ALIN,<NONVERBAL>
06_LENO,I confess.
06_ALIN,"Oh, we knew. We knew. We figured it had to be Michael..."
06_LENO,Oh shit.
06_ALIN,"Mhm... So Mom didn't want me to. We had to go see Jan last Sunday... at her house for dinner. And-... or breakfast. And Mom said, n- you know, don't bring it up to Linda, don't tell her about Mike. So I- I- b-. That's like waving a red flag. Yeah, hello Tyke, did you see Mike on TV..."
06_LENO,Did she.
06_ALIN,"Yeah. She said, sh- they were sitting there watching TV, and the next thing she know, there's Mike... on the... on TV. And she goes. And of course John, who's just as bad, is sitting there going, oh, did you see Mike, your ex-boyfriend. But he's no better. He does other goofy things."
06_LENO,Goofy.
06_ALIN,Yeah. A little goofy uh.
06_LENO,Graft. Goofy.
06_ALIN,I know.
06_LENO,Hee. Sleepy.
06_ALIN,"Steali-. Stealing cars, but, you know, it's okay. At least it's not car radios, it's the whole car."
06_LENO,It's the whole car...
06_ALIN,<NONVERBAL>
06_LENO,"Go big, or don't go at all. Shoot."
06_ALIN,I know it...
06_LENO,<NONVERBAL>
06_ALIN,I know...
06_LENO,"It's amazing. No, Jan talked the whole time, in a voice like this... ."
06_ALIN,"Hi Mar Alina, Alina I'm so happy to see you..."
06_LENO,<NONVERBAL>
06_ALIN,And we're going...
06_LENO,<NONVERBAL>
06_ALIN,"God, turn the volume down, let me out of here..."
06_LENO,<NONVERBAL>
06_ALIN,"And I kept, looking over at Mar..."
06_LENO,<NONVERBAL>
06_ALIN,And she's going...
06_LENO,<NONVERBAL>
06_ALIN,<NONVERBAL>
06_LENO,<NONVERBAL>
06_ALIN,cause she didn't wanna go...
06_LENO,<NONVERBAL>
06_ALIN,"And I she. I said, Mom, we gotta go, so we never have to go again, right. So, uh well at least we had a good time Saturday, we went to see Oba Oba..."
06_LENO,<NONVERBAL>
06_ALIN,"You know, Ruben loved it. They kinda."
06_LENO,"Ola Ola, what'd he call it."
06_ALIN,Oba Oba. That.
06_LENO,What. He.
06_ALIN,"Oh, he called it Oho Oho..."
06_LENO,<NONVERBAL>
06_ALIN,"They ca-. They came and grabbed everybody, and got you dancing in the aisles, and they were just nice people..."
06_LENO,<NONVERBAL>
