year,decade,token_count,total_count,counts_permil
1800,1800,104442,18412019,5672.49
1801,1800,126814,19941239,6359.38
1802,1800,115818,23355869,4958.84
1803,1800,170391,27922721,6102.23
1804,1800,134866,36024446,3743.74
1805,1800,154443,28285597,5460.13
1806,1800,181813,30783941,5906.1
1807,1800,233105,38882481,5995.12
1808,1800,174017,31553108,5515.05
1809,1800,278942,45829773,6086.48
1810,1810,385668,65830685,5858.48
1811,1810,325231,53049760,6130.68
1812,1810,249197,43524358,5725.46
1813,1810,255328,44083350,5791.94
1814,1810,256924,39200179,6554.15
1815,1810,270355,35621471,7589.66
1816,1810,253548,43581951,5817.73
1817,1810,274178,49664747,5520.58
1818,1810,338948,64937302,5219.62
1819,1810,265586,60059167,4422.07
1820,1820,229845,41525308,5535.06
1821,1820,348073,66759836,5213.81
1822,1820,417422,86432807,4829.44
1823,1820,405173,90275483,4488.18
1824,1820,644699,107202177,6013.86
1825,1820,513276,100835871,5090.21
1826,1820,489337,87443511,5596.04
1827,1820,611742,103224456,5926.33
1828,1820,560018,100712008,5560.59
1829,1820,866668,145851268,5942.14
1830,1830,850305,142572210,5964.03
1831,1830,976318,192376287,5075.04
1832,1830,1091329,208072264,5244.95
1833,1830,1151551,188124639,6121.21
1834,1830,926493,160777483,5762.58
1835,1830,1209429,213225556,5672.06
1836,1830,1382685,246594625,5607.12
1837,1830,937647,178891779,5241.42
1838,1830,893336,166066243,5379.4
1839,1830,1137386,218149517,5213.79
1840,1840,1263019,214932042,5876.36
1841,1840,1434641,223625532,6415.37
1842,1840,1120411,202841595,5523.58
1843,1840,1344245,234308194,5737.08
1844,1840,1611188,272926560,5903.38
1845,1840,1810150,308325808,5870.9
1846,1840,1665533,311607661,5344.97
1847,1840,1559017,292456945,5330.76
1848,1840,1627541,299849979,5427.85
1849,1840,1692584,285127825,5936.23
1850,1850,1905024,346894617,5491.65
1851,1850,1892270,374269854,5055.9
1852,1850,1972822,364524509,5412.04
1853,1850,2382137,428102358,5564.41
1854,1850,2683299,496550502,5403.88
1855,1850,2374988,457343669,5193.01
1856,1850,2742410,518328494,5290.87
1857,1850,2200262,426434283,5159.67
1858,1850,1871668,346284832,5405
1859,1850,2335154,442579354,5276.24
1860,1860,2493308,455087035,5478.75
1861,1860,1261436,255214560,4942.65
1862,1860,1030273,197497074,5216.65
1863,1860,1112675,218520984,5091.85
1864,1860,1754994,344750650,5090.62
1865,1860,1576582,299436808,5265.16
1866,1860,1949962,375308606,5195.62
1867,1860,1685179,342124680,4925.63
1868,1860,1799894,382283415,4708.27
1869,1860,1891575,376788569,5020.26
1870,1870,1742051,364296003,4781.97
1871,1870,1906306,373473424,5104.26
1872,1870,1914773,397802788,4813.37
1873,1870,1810963,395108017,4583.46
1874,1870,1967517,417860324,4708.55
1875,1870,1996257,415719665,4801.93
1876,1870,1899991,444883571,4270.76
1877,1870,1902528,408816032,4653.75
1878,1870,1644735,377599725,4355.76
1879,1870,1895671,431810063,4390.06
1880,1880,2758367,621507109,4438.19
1881,1880,2583197,581557072,4441.86
1882,1880,2559089,569855156,4490.77
1883,1880,3174140,684435263,4637.6
1884,1880,3175667,674471062,4708.38
1885,1880,2724176,609257291,4471.31
1886,1880,2598649,607033427,4280.9
