year,decade,token_count,total_count,counts_permil
1800,1800,236846,18412019,12863.66
1801,1800,200603,19941239,10059.71
1802,1800,162318,23355869,6949.77
1803,1800,183530,27922721,6572.78
1804,1800,170764,36024446,4740.23
1805,1800,244560,28285597,8646.1
1806,1800,256508,30783941,8332.53
1807,1800,395751,38882481,10178.13
1808,1800,244661,31553108,7753.94
1809,1800,486127,45829773,10607.23
1810,1810,522221,65830685,7932.79
1811,1810,411932,53049760,7765.01
1812,1810,341601,43524358,7848.5
1813,1810,488794,44083350,11087.95
1814,1810,333890,39200179,8517.56
1815,1810,294208,35621471,8259.29
1816,1810,333694,43581951,7656.7
1817,1810,432292,49664747,8704.2
1818,1810,370384,64937302,5703.72
1819,1810,335663,60059167,5588.87
1820,1820,351077,41525308,8454.53
1821,1820,447154,66759836,6697.95
1822,1820,584505,86432807,6762.54
1823,1820,733996,90275483,8130.62
1824,1820,902750,107202177,8421
1825,1820,908481,100835871,9009.5
1826,1820,750992,87443511,8588.31
1827,1820,787610,103224456,7630.07
1828,1820,722370,100712008,7172.63
1829,1820,1201271,145851268,8236.27
1830,1830,1267033,142572210,8886.96
1831,1830,1620969,192376287,8426.03
1832,1830,1583084,208072264,7608.34
1833,1830,1631036,188124639,8669.98
1834,1830,1629693,160777483,10136.33
1835,1830,2085103,213225556,9778.86
1836,1830,2277260,246594625,9234.83
1837,1830,1745909,178891779,9759.58
1838,1830,1400897,166066243,8435.77
1839,1830,1981337,218149517,9082.47
1840,1840,1844779,214932042,8583.08
1841,1840,1853833,223625532,8289.9
1842,1840,1674071,202841595,8253.1
1843,1840,1945562,234308194,8303.43
1844,1840,2096038,272926560,7679.86
1845,1840,2520602,308325808,8175.12
1846,1840,2411834,311607661,7739.97
1847,1840,2602710,292456945,8899.46
1848,1840,2515361,299849979,8388.73
1849,1840,2381539,285127825,8352.53
1850,1850,3055704,346894617,8808.74
1851,1850,2986191,374269854,7978.71
1852,1850,3225468,364524509,8848.43
1853,1850,4138277,428102358,9666.56
1854,1850,4417740,496550502,8896.86
1855,1850,4191170,457343669,9164.16
1856,1850,4681424,518328494,9031.77
1857,1850,3928847,426434283,9213.25
1858,1850,2840803,346284832,8203.66
1859,1850,3924553,442579354,8867.46
1860,1860,3817336,455087035,8388.14
1861,1860,2277270,255214560,8922.96
1862,1860,1655278,197497074,8381.28
1863,1860,1896020,218520984,8676.6
1864,1860,3265625,344750650,9472.43
1865,1860,2674508,299436808,8931.79
1866,1860,3203734,375308606,8536.27
1867,1860,3272622,342124680,9565.58
1868,1860,3403130,382283415,8902.11
1869,1860,3484120,376788569,9246.88
1870,1870,3206245,364296003,8801.21
1871,1870,3360475,373473424,8997.9
1872,1870,3435467,397802788,8636.11
1873,1870,3536226,395108017,8950.02
1874,1870,3452377,417860324,8262.04
1875,1870,3801067,415719665,9143.34
1876,1870,3492978,444883571,7851.44
1877,1870,3382890,408816032,8274.85
1878,1870,2649047,377599725,7015.49
1879,1870,3187272,431810063,7381.19
1880,1880,5233077,621507109,8419.98
1881,1880,4752671,581557072,8172.32
1882,1880,4761077,569855156,8354.89
